,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
67975,752869003,752869,MAGIC GLOVES,71,Gloves,Accessories,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Gloves in a soft, fine knit with ribbed cuffs. The tops of the thumb and index finger are in touchscreen-compatible material."
38889,659373001,659373,Snap shorts,274,Shorts,Garment Lower body,1010016,Solid,13,Beige,1,Dusty Light,1,Mole,5690,Shorts,F,Menswear,3,Menswear,55,Contemporary Street,1025,Shorts,"Shorts in a textured cotton weave with an elasticated drawstring waist, side pockets and a back pocket with a press-stud."
86545,824336001,824336,Dallas shirt,259,Shirt,Garment Upper body,1010004,Check,42,Red,7,Medium,18,Red,2033,Woven Tops,A,Ladieswear,1,Ladieswear,8,Mama,1010,Blouses,"Shirt in lightweight cotton flannel with a unique nursing feature. Collar, classic front, long sleeves with buttoned cuffs, and a rounded hem. Longer at the back. The design includes a double layer to help retain warmth while allowing easier nursing access."
97448,874316001,874316,Flirty Skogs necklace,77,Necklace,Accessories,1010016,Solid,31,Light Orange,7,Medium,3,Orange,4344,Jewellery,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Necklaces in different designs. One thin metal chain necklace with a textured medallion. Adjustable length 53-60 cm. One necklace with semi-precious stones and metal beads. Adjustable length 42-49 cm.
16475,570002073,570002,R-NECK SS SLIM FIT,255,T-shirt,Garment Upper body,1010017,Stripe,43,Dark Red,4,Dark,18,Red,5832,Light Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,Round-necked T-shirt in soft jersey.
42506,673214024,673214,Maxi,273,Leggings/Tights,Garment Lower body,1010006,Dot,7,Grey,1,Dusty Light,12,Grey,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"3/4-length leggings in soft, organic cotton jersey with an elasticated waist."
96545,870590001,870590,Claire jumpsuit,267,Jumpsuit/Playsuit,Garment Full body,1010001,All over pattern,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,8716,Young Girl Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1005,Jersey Fancy,"Sleeveless jumpsuit in soft viscose jersey with decorative crossover straps at the back, an elasticated seam at the waist, side pockets and calf-length legs."
46400,685814035,685814,RICHIE HOOD,308,Hoodie,Garment Upper body,1010016,Solid,14,Dark Beige,4,Dark,11,Beige,5833,Heavy Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Hoodie in sweatshirt fabric made from a cotton blend. Relaxed fit with a lined, drawstring hood, long sleeves, kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside."
51488,699073002,699073,Pickle jumpsuit,295,Pyjama jumpsuit/playsuit,Nightwear,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,8716,Young Girl Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1005,Jersey Fancy,"Sleeveless playsuit in soft viscose jersey with decorative crossover straps at the back, an elasticated seam at the waist, side pockets and short legs."
77983,791856001,791856,Diana dress,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,"Calf-length dress in soft viscose jersey with a detachable tie belt below the bust, short sleeves with sewn-in turn-ups, and short slits in the sides. Unlined."
35516,647117001,647117,Edgy necklace,77,Necklace,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,9986,Small Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Thin metal curb chain necklace with a trigger clasp.
95312,865981004,865981,Iris price hood,254,Top,Garment Upper body,1010008,Front print,51,Light Pink,1,Dusty Light,4,Pink,8716,Young Girl Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1005,Jersey Fancy,"Boxy-style top in lightweight sweatshirt fabric with a wrapover hood. Dropped shoulders, long sleeves with ribbing at the cuffs, and a drawstring at the hem."
861,299668015,299668,Sanne treggings (1),272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"Treggings in superstretch twill with an elasticated waist, fake pockets at the front and real pockets at the back."
100247,889267004,889267,Majken dress,265,Dress,Garment Full body,1010001,All over pattern,92,Green,1,Dusty Light,19,Green,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,Dress in lightweight sweatshirt fabric made from a cotton blend. Long sleeves with sewn-in turn-ups and a detachable belt in braided imitation suede.
46608,686267001,686267,Family Crew Kids,252,Sweater,Garment Upper body,1010008,Front print,7,Grey,1,Dusty Light,12,Grey,7848,Boys Local Relevance,H,Children Sizes 92-140,4,Baby/Children,48,Kids Local Relevance,1023,Special Offers,"Long-sleeved top in sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside."
36838,651911003,651911,Basic Sneaker Pile SG,94,Sneakers,Shoes,1010001,All over pattern,61,Light Purple,3,Light,6,Lilac Purple,4311,Kids Girl Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Hi-tops in imitation leather with elasticated lacing, a hook and loop tab at the front and loop at the back. Pile linings and insoles and rubber soles."
40822,665676001,665676,W SARK SKIRT EQ,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3030,Equatorial Assortment,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1001,Unknown,"Knee-length satin skirt with a high waist with wide elastication and a detachable tie belt, and side pockets. Unlined."
88558,833530003,833530,Surfs Up Tanga,59,Swimwear bottom,Swimwear,1010026,Other structure,50,Other Pink,5,Bright,4,Pink,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a low waist and cutaway coverage at the back.
22852,600441001,600441,BOO waistbag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,8396,Ladies Sport Acc,S,Sport,26,Sport,5,Ladies H&M Sport,1019,Accessories,"Soft, stretch waist bag designed for running. Zip at the front, adjustable elastication, a plastic fastener and reflective details. Size 9x25 cm."
45109,682236013,682236,ALEXA COMPONENT BAG,66,Bag,Accessories,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Small shoulder bag in imitation leather with a detachable, adjustable shoulder strap and an imitation suede flap with a fastener. One inner compartment and one outer compartment with a zip. Lined. Height 18 cm. Width 23 cm."
66897,749384001,749384,Payton tank top,253,Vest top,Garment Upper body,1010016,Solid,8,Dark Grey,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Sports vest top in fast-drying functional fabric with a racer back and gathered elastication up from the hem at the back.
68086,753210011,753210,Boulevard- TVP- TM,255,T-shirt,Garment Upper body,1010007,Embroidery,22,Yellow,7,Medium,8,Yellow,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,T-shirt in soft viscose jersey with a slight sheen. Print motif on the front and ribbing around the neckline.
23991,607632001,607632,Eufemia jumper,245,Cardigan,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1644,Projects Jersey & Knitwear,D,Divided,2,Divided,50,Divided Projects,1005,Jersey Fancy,"Hole-knitted jumper with a wide, frill-trimmed neckline with lacing and an opening at the top. Long sleeves with ribbing and a frill trim at the cuffs, and wide ribbing at the hem."
86497,824185002,824185,Dallas Slim HW PU TRS,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"5-pocket trousers in stretch fabric with a high waist, zip fly and button, and slim legs."
61301,732842009,732842,Embrace S.Skinny H.W Trash,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in washed, stretch denim with hard-worn details, a high waist, zip fly and button and super-skinny legs with raw-edge hems. Embrace – denim with a smart stretch function that moulds to the body for a comfortable, flattering silhouette."
63048,738417001,738417,PE PRINGLE KNIT,252,Sweater,Garment Upper body,1010016,Solid,11,Off White,1,Dusty Light,9,White,3080,Take Care External,A,Ladieswear,1,Ladieswear,97,Collaborations,1001,Unknown,"Fitted jumper in soft, rib-knit merino wool with a small stand-up collar and extra-long sleeves."
78478,794221011,794221,Tuxedo junior pants,272,Trousers,Garment Lower body,1010020,Contrast,14,Dark Beige,4,Dark,11,Beige,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,Leggings in sturdy jersey with an elasticated waist.
87498,828092002,828092,Dharma Lounge Hood,252,Sweater,Garment Upper body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1644,Projects Jersey & Knitwear,D,Divided,2,Divided,50,Divided Projects,1005,Jersey Fancy,"Hooded jacket in a fine, lightly brushed knit with a zip down the front, dropped shoulders and long sleeves. Ribbed trim around the hood, cuffs and hem."
31779,633180002,633180,Abbe shorts,274,Shorts,Garment Lower body,1010016,Solid,51,Light Pink,3,Light,4,Pink,6565,Baby Boy Woven,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1006,Woven/Jersey/Knitted mix Baby,"Shorts in cotton twill with an adjustable elasticated waist, fly with a button, fake front pockets and a fake back pocket."
80484,802153001,802153,Premium GOMA cashmere sweater,252,Sweater,Garment Upper body,1010016,Solid,32,Orange,5,Bright,3,Orange,1612,Jersey/Knitwear Premium,A,Ladieswear,1,Ladieswear,14,Womens Premium,1003,Knitwear,"Round-necked jumper in soft, rib-knit cashmere with low dropped shoulders, long sleeves and wide ribbing around the neckline, cuffs and hem."
64565,742160002,742160,SB Brandon Pile,262,Jacket,Garment Upper body,1010016,Solid,11,Off White,1,Dusty Light,9,White,7852,Kids Boy Outdoor,H,Children Sizes 92-140,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,Hooded jacket in soft pile with an imitation leather appliqué on one sleeve and a zip down the front with a chin guard. Side pockets and a rounded hem. Slightly longer at the back.
46402,685814037,685814,Richie Regular Hood,308,Hoodie,Garment Upper body,1010016,Solid,33,Dark Orange,5,Bright,3,Orange,5833,Heavy Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Hoodie in sweatshirt fabric made from a cotton blend. Relaxed fit with a lined, drawstring hood, long sleeves, kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside."
38173,656719008,656719,Serpente HW slim trouser,272,Trousers,Garment Lower body,1010004,Check,33,Dark Orange,5,Bright,3,Orange,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Tailored trousers in a stretch weave with two press-studs at the waist and a zip fly. Zipped front pockets, fake welt back pockets and slim, straight legs."
6327,504415001,504415,Spartan BLZ,264,Blazer,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,5679,Denim wardrobe H&M man inactive from S.6,F,Menswear,3,Menswear,30,Men Other 2,1001,Unknown,"Single-breasted jacket in a textured stretch weave with narrow notch lapels, a decorative buttonhole and two buttons down the front. Chest pocket, jetted front pockets and three inner pockets, one with a button. Decorative buttons at the cuffs and a single back vent. Lined. Slim fit that tapers at the chest and waist, which combined with slightly narrower sleeves creates a fitted silhouette. For the matching trousers, search on 0504416."
70160,759635002,759635,Odette skirt,265,Dress,Garment Full body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,8713,Young Girl Dresses,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1014,Dresses/Skirts girls,Glittery tulle skirt with a shimmering elastic waistband. Lined.
50889,697651001,697651,TESSIE d.magic,71,Gloves,Accessories,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,4322,Young Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Fine-knit gloves with matching fingerless gloves with a print motif. The gloves can be worn together or separately.
20414,588886001,588886,Giftgiving Pack,77,Necklace,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,3946,Small Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Set with a metal necklace and stud earrings. Thin metal chain necklace with a pendant. Adjustable length, 41-48 cm. Small studs."
60969,731526006,731526,JEGGINGS JOY,272,Trousers,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,8917,Young Girl Denim,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1016,Trousers Denim,"Jeggings in soft, stretch denim with a high waist, zip fly and button and back pockets. Adjustable, elasticated waist in sizes 8-12Y."
104072,918522001,918522,Jackie cable vest,252,Sweater,Garment Upper body,1010016,Solid,11,Off White,3,Light,9,White,1626,Knitwear,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1003,Knitwear,V-neck slipover in a soft cable knit with ribbing around the neckline and hem. Relaxed fit.
81042,804507002,804507,Johan basic sneakers CNY,94,Sneakers,Shoes,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,6561,Baby Shoes,G,Baby Sizes 50-98,4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,Trainers in imitation leather with a hook and loop fastening at the front. Fabric linings and insoles and patterned rubber soles.
53990,706268029,706268,1pk fun/expressive,302,Socks,Socks & Tights,1010014,Placement print,7,Grey,1,Dusty Light,12,Grey,5999,Socks Wall,F,Menswear,3,Menswear,26,Men Underwear,1021,Socks and Tights,Fine-knit socks in a soft cotton blend with high shafts and elasticated tops.
101538,897358003,897358,Remy padded jacket,262,Jacket,Garment Upper body,1010016,Solid,52,Pink,1,Dusty Light,1,Mole,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,"Padded jacket in woven fabric with a lined hood, stand-up collar with an elastic drawstring and a zip and wind flap with press-studs down the front. Fleece-lined handwarmer pockets and fleece-lined, flap front pockets with a press-stud. Ribbing at the cuffs and a drawstring at the hem. Recycled polyester lining. The polyester content of the outer fabric is partly recycled."
82995,810831001,810831,Lennox.,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"V-neck blouse in woven fabric with a small stand-up collar, a yoke with a pleat at the back and long sleeves with gently rounded cuffs with a slit and button. Rounded hem, slightly longer at the back."
21380,593938001,593938,Zen WCT Jogger,272,Trousers,Garment Lower body,1010002,Application/3D,73,Dark Blue,4,Dark,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,Sports trousers with an elasticated drawstring waist and wide legs with contrasting colour stripes down the sides with press-studs that can be opened all the way down.
42219,671809014,671809,Malin court sneaker,94,Sneakers,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3629,Shoes,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,Trainers with a padded top edge and lacing at the front. Mesh linings and insoles and rubber soles.
33027,637280003,637280,Chantei,265,Dress,Garment Full body,1010022,Jacquard,23,Dark Yellow,4,Dark,8,Yellow,1313,Dress,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1013,Dresses Ladies,Knee-length dress in woven fabric with gathers at the top and an opening with a button at the back of the neck. Short flounced sleeves and a narrow elasticated seam with ties at the waist. Partly lined.
88624,834029001,834029,MC Hayes cropped (W),272,Trousers,Garment Lower body,1010010,Melange,10,White,3,Light,9,White,2031,Woven bottoms,A,Ladieswear,1,Ladieswear,8,Mama,1009,Trousers,"Ankle-length cigarette trousers in a slightly stretchy weave with a fake fly, side pockets, fake welt back pockets and slim, gently tapered legs with creases. Wide panel at the waist for best fit over the tummy."
98645,880195002,880195,Heartbreak top,258,Blouse,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Wrapover blouse in a crinkled weave made from a Tencel™ lyocell blend. Short, puffy raglan sleeves with gathers along the shoulder seams and narrow elastication at the hems. Seam at the waist with visible ties at one side and concealed ties at the other. Lined."
52770,702213001,702213,Frans Espadrille BB,94,Sneakers,Shoes,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,4221,Young Boy Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,Espadrilles in cotton with a braided jute trim around the soles and elastic gores in the sides. Canvas linings and insoles and thermoplastic rubber (TPR) soles.
98667,880325001,880325,Ava tie blouse,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Blouse in an airy linen and cotton weave with a deep V-neck, buttons down the front, short, wide sleeves and ties at the hem. Unlined."
14660,564048016,564048,BASIC HOOD,308,Hoodie,Garment Upper body,1010008,Front print,10,White,3,Light,9,White,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,"Top in printed sweatshirt fabric with a lined drawstring hood, kangaroo pocket and ribbing at the cuffs and hem. Brushed inside."
95769,867919001,867919,Filtch 2P trs,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,6565,Baby Boy Woven,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1006,Woven/Jersey/Knitted mix Baby,"5-pocket trousers in soft twill with elasticated ribbing at the waist, fake front pockets and real back pockets."
13269,557247008,557247,Petar Sweater,252,Sweater,Garment Upper body,1010016,Solid,81,Light Turquoise,1,Dusty Light,7,Turquoise,5868,Basics,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Oversized top in sturdy sweatshirt fabric with dropped shoulders and ribbing around the neckline, cuffs and hem. Soft brushed inside."
31903,633535004,633535,AG Sorrel,265,Dress,Garment Full body,1010001,All over pattern,13,Beige,1,Dusty Light,12,Grey,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"ANNA GLOVER x H&M. Straight-cut dress in a soft weave with a V-neck and small stand-up collar. Dropped shoulders, short sleeves with sewn-in turn-ups and a rounded hem. Slightly longer at the back. Unlined."
58596,720536004,720536,RC Wave Shorts,274,Shorts,Garment Lower body,1010010,Melange,11,Off White,1,Dusty Light,9,White,8030,EQ H&M Man,F,Menswear,3,Menswear,30,Men Other 2,1001,Unknown,"Shorts in a woven cotton blend with an elasticated drawstring waist, zip fly, side pockets and a welt back pocket."
41032,666508003,666508,Result denim shirt,259,Shirt,Garment Upper body,1010023,Denim,9,Black,4,Dark,5,Black,5777,Shirt,F,Menswear,3,Menswear,20,Contemporary Smart,1011,Shirts,"Denim shirt in cotton with a button-down collar, classic front and open chest pocket. Long sleeves and cuffs with adjustable buttoning, a yoke at the back and a rounded hem. Regular fit – a classic fit with good room for movement over the shoulders and chest, which combined with a gently tapered waist creates a comfortable, tailored silhouette."
40384,664329001,664329,Pinnochio Headband,75,Hat/beanie,Accessories,1010010,Melange,6,Light Grey,1,Dusty Light,12,Grey,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Hairband in a soft, textured knit."
83316,811756005,811756,Sandy blouse,258,Blouse,Garment Upper body,1010001,All over pattern,72,Blue,3,Light,2,Blue,7613,Kids Girl Dresses,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1014,Dresses/Skirts girls,A-line blouse in an airy cotton weave with short raglan sleeves and covered elastication with a small frill trim at the top.
43897,678571012,678571,AZELIA fancy iphone case,78,Other accessories,Accessories,1010001,All over pattern,3,Silver,1,Dusty Light,15,Metal,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Hard smartphone case. Fits iPhone 6/6s/7/8.
104691,926026001,926026,Bernhard tencel shirt.,259,Shirt,Garment Upper body,1010016,Solid,73,Dark Blue,2,Medium Dusty,2,Blue,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Straight-cut shirt in airy Tencel™ lyocell denim with a collar, buttons down the front and a yoke with a pleat at the back. Long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back."
73521,772234001,772234,Flirty Riley necklace,77,Necklace,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,4344,Jewellery,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Three-strand necklace in metal chains of various designs, one with a moon-shaped pendant. Adjustable length 38-47 cm."
83679,812977003,812977,FLORINA fur jkt,262,Jacket,Garment Upper body,1010016,Solid,42,Red,7,Medium,18,Red,8812,Young Girl Outdoor,I,Children Sizes 134-170,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,Jacket in soft faux fur with concealed hook-and-eye fasteners at the front and pockets in the side seams. Jersey lining.
89895,840505009,840505,MOLLY hood (TVP),308,Hoodie,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Zip-through hoodie in sweatshirt fabric made from a cotton blend with a soft brushed inside. Front pockets and ribbing at the cuffs and hem. The cotton content of the hoodie is organic.
47909,690506003,690506,Petter Popover shirt,258,Blouse,Garment Upper body,1010017,Stripe,10,White,3,Light,9,White,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Blouse in a cotton crêpe weave with a grandad collar, button placket and long sleeves with buttoned cuffs. Rounded hem, longer at the back."
66686,749000002,749000,2P Skinny Cheapo,272,Trousers,Garment Lower body,1010023,Denim,6,Light Grey,1,Dusty Light,12,Grey,7956,Kids Boy Denim,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1016,Trousers Denim,"Slim-fit jeans in washed, stretch denim with an adjustable, elasticated waist, zip fly and button, front and back pockets, and narrow hems."
29692,625939013,625939,Cat Tee,255,T-shirt,Garment Upper body,1010016,Solid,23,Dark Yellow,4,Dark,8,Yellow,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,T-shirt in soft jersey made from a viscose blend.
96037,868775001,868775,Func. Shower rainproof jkt,262,Jacket,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,8812,Young Girl Outdoor,I,Children Sizes 134-170,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,"Rain jacket in wind- and waterproof functional fabric with closed seams. Fleece-lined stand-up collar, a detachable hood, press-studs down the front and flap front pockets with a press-stud. Unlined. The jacket has a water-repellent coating without fluorocarbons."
15241,566130002,566130,ALEXA wowen scarf,80,Scarf,Accessories,1010001,All over pattern,10,White,3,Light,9,White,4312,Kids Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,"Triangular scarf in a lightweight, patterned weave with decorative fringing."
12600,554450034,554450,Julia RW Denim TRS,272,Trousers,Garment Lower body,1010016,Solid,22,Yellow,2,Medium Dusty,8,Yellow,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,5-pocket jeans in superstretch washed denim with a regular waist and super-skinny legs.
35204,645920001,645920,SHAMAN set TVP 2pcs,270,Garment Set,Garment Full body,1010001,All over pattern,13,Beige,1,Dusty Light,1,Mole,6557,Baby Exclusive,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1006,Woven/Jersey/Knitted mix Baby,"Baby Exclusive. Set with a long-sleeved top and pair of trousers in soft organic cotton sweatshirt fabric. Top with a fastening at the top, a lined hood with a pompom, and sewn-in turn-ups at the cuffs. Trousers with an elasticated waist and sewn-in turn-ups at the hems. Soft brushed inside."
82996,810831002,810831,Lennox.,258,Blouse,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"V-neck blouse in woven fabric with a small stand-up collar, a yoke with a pleat at the back and long sleeves with gently rounded cuffs with a slit and button. Rounded hem, slightly longer at the back."
78742,795549001,795549,Hollywood Denim TRS,272,Trousers,Garment Lower body,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"Ankle-length, washed denim jeans with a high paper bag waist with a detachable tie belt, zip fly and concealed hook-and-eye fastener. Diagonal side pockets, back pockets and tapered legs."
60202,727611003,727611,Zidane jumpsuit,267,Jumpsuit/Playsuit,Garment Full body,1010001,All over pattern,22,Yellow,7,Medium,8,Yellow,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"V-neck playsuit in a crinkled weave with a wrapover front and concealed press-stud at the neckline. Opening and concealed button at the back of the neck, an elasticated seam at the waist and short, wide legs."
75550,781997001,781997,GEORGE knitted dungeree,273,Leggings/Tights,Garment Lower body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,6557,Baby Exclusive,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1006,Woven/Jersey/Knitted mix Baby,"Baby Exclusive. Dungarees in a soft, rib-knit cotton blend with an elasticated waist, straps that cross at the back and have adjustable buttoning at the front, and sewn-in turn-ups at the hems. The cotton content of the dungarees is organic."
38185,656749010,656749,Jack Skinny Trs,272,Trousers,Garment Lower body,1010004,Check,10,White,3,Light,9,White,5686,Trouser,F,Menswear,3,Menswear,20,Contemporary Smart,1009,Trousers,"Suit trousers in a stretch weave with a concealed hook-and-eye fastener and zip fly. Diagonal side pockets, jetted back pockets, and an adjustable tab with buttons at the sides. Skinny fit – a fit with slightly shorter legs that is close-fitting at the thighs, knees and ankles to create a completely fitted silhouette."
20557,589521012,589521,Niko 5-p boxer BB (1),286,Underwear bottom,Underwear,1010016,Solid,32,Orange,7,Medium,3,Orange,4225,Young Boy UW/NW,I,Children Sizes 134-170,4,Baby/Children,72,Boys Underwear & Basics,1017,"Under-, Nightwear","Boxer shorts in cotton jersey with short legs, an elasticated waist and lined front."
16795,571484003,571484,Rosa padded bra BIG,306,Bra,Underwear,1010021,Lace,42,Red,7,Medium,18,Red,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Bra in microfibre and lace with underwired, padded cups that shape the bust and provide extra-firm support. Wide, adjustable shoulder straps and a hook-and-eye fastening at the back."
80637,802747001,802747,PQ RUTH WOOL PULLOVER,252,Sweater,Garment Upper body,1010010,Melange,53,Dark Pink,4,Dark,4,Pink,1612,Jersey/Knitwear Premium,A,Ladieswear,1,Ladieswear,14,Womens Premium,1003,Knitwear,Sweater vest knitted in a soft alpaca blend containing some wool with ribbing around the neckline and hem.
94754,863879001,863879,David sneaker,94,Sneakers,Shoes,1010001,All over pattern,11,Off White,1,Dusty Light,9,White,6561,Baby Shoes,G,Baby Sizes 50-98,4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Slip-on trainers in patterned cotton canvas with a padded top edge, elastic gores in the sides and a loop at the back. Cotton canvas linings and insoles and fluted soles."
